Date,iOS Screentime (hrs),Mac Screentime (hrs),Total Screentime (hrs)
2024-05-01,0.9725,,
2024-05-03,0.8336111111111111,6.695,7.528611111111111
2024-05-04,,6.194444444444445,
2024-05-05,,5.443888888888889,
2024-05-06,,3.680277777777778,
2024-05-07,,4.528611111111111,
2024-05-08,,3.2030555555555553,
2024-05-09,,2.091388888888889,
2024-05-10,,1.8130555555555556,
2024-05-16,,4.935833333333333,
2024-05-17,2.828333333333333,3.884722222222222,6.713055555555555
2024-05-18,2.307777777777778,1.7197222222222222,4.0275
2024-05-19,0.4936111111111111,4.690277777777778,5.183888888888889
2024-05-20,1.6569444444444443,2.368333333333333,4.025277777777777
2024-05-21,1.093888888888889,0.9394444444444444,2.033333333333333
2024-05-22,0.4577777777777778,3.178611111111111,3.636388888888889
2024-05-23,1.3522222222222222,3.711111111111111,5.063333333333333
